约翰逊,余秀华,辞职,女大学生,家暴,南京,被家暴,英国首相,死刑,侵权,洪峤,一审,马斯克,被判,宣判,七七事变,妇联,英国,双胞胎,刘翔,局长,被告人,冰淇淋,被害案,女高管,新东方,遇害案,生下,洪某,印度,85周年,茅台,我不是药神,4岁男童,被压,驾车,判罚,炒至,鲍里斯,身亡,搜查,留任,男友,获赔,突击,曹泽青,张晨光
0.0,0.0,0.0030763,0.0,0.0,0.0,0.0,0.0,0.0036497,0.0035348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9849961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9956332,0.9934402,0.9934688,0.0,0.0,0.0,0.9018021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0030858,0.0,0.0,0.0,0.0,0.0,0.0036593,0.0035443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9828498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934402,0.995614,0.9912853,0.0,0.0,0.0,0.8989002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0030668,0.0,0.0,0.0,0.0,0.0,0.0036402,0.0035253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9828317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934688,0.9912853,0.9956522,0.0,0.0,0.0,0.899989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0080065,0.0,0.0079946,0.0,0.0,0.0084881,0.7308559,0.0054516,0.0985261,0.0047083,0.0270833,0.0050099,0.0,0.0,0.0,0.0051142,0.0,0.0,0.0057898,0.0,0.0051252,0.0047463,0.0,0.0049708,0.0047386,0.004933,0.1560764,0.0,0.0,0.9091195,0.0,0.0,0.0,0.9944444,0.0,0.0,0.0,0.0,0.0,0.0061791,0.0,0.0,0.0065091,0.0064815
0.0,0.0,0.0,0.0,0.0,0.004287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8222337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8920545,0.0,0.0,0.0,0.0,0.0,0.993865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6243545,0.0,0.6041736,0.0,0.0,0.0,0.0,0.5931388,0.0,0.0,0.0,0.0046077,0.0,0.0,0.0,0.0,0.0,0.495286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994186,0.0,0.0,0.4883721,0.0,0.0,0.0,0.0,0.0
0.0,0.0032503,0.0034309,0.0188178,0.0,0.0187879,0.0,0.0,0.0200217,0.0038894,0.0208475,0.0042388,0.0,0.0170967,0.0047702,0.0,0.0,0.0,0.0,0.0,0.8928912,0.0,0.0,0.0048855,0.0,0.0,0.0189242,0.0,0.018773,0.0,0.0,0.0,0.0,0.9018021,0.8989002,0.899989,0.0,0.0,0.0,0.9949239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8362873,0.0068178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9925373,0.0,0.0,0.0,0.9050373,0.0,0.0
0.5941332,0.0,0.5579527,0.0,0.0,0.0,0.0,0.4757174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4841295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883721,0.0,0.0,0.9922481,0.0,0.0,0.0,0.0,0.0
0.0,0.222135,0.0,0.4210434,0.1780019,0.4204994,0.1739023,0.0,0.3991462,0.0,0.2733821,0.4336735,0.0,0.4007228,0.4732143,0.0,0.1823129,0.0,0.0,0.0,0.0,0.2308827,0.0,0.3564243,0.0,0.0,0.2573398,0.0,0.3000528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061791,0.0,0.0,0.0,0.0,0.0,0.9931973,0.0,0.0,0.2282465,0.2344671
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6767474,0.0,0.1905114,0.0,0.0051844,0.0,0.0,0.0,0.0,0.0,0.9493819,0.0,0.0,0.0,0.0,0.0,0.9437567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9931034,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9050373,0.0,0.0,0.0,0.99375,0.0,0.0
0.0,0.0,0.0,0.6592589,0.0,0.6584638,0.0,0.0,0.6341095,0.0,0.8454785,0.6735709,0.0,0.420994,0.7573627,0.0,0.0,0.0,0.0,0.0,0.0,0.8294372,0.0,0.5470885,0.0,0.0,0.290292,0.0,0.2648932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065091,0.0,0.0,0.0,0.0,0.0,0.2282465,0.0,0.0,0.9925373,0.9888612
0.0,0.0,0.0,0.660512,0.0,0.6597109,0.0,0.0,0.6359075,0.0,0.8482076,0.675548,0.0,0.4188657,0.7597884,0.0,0.0,0.0,0.0,0.0,0.0,0.8327532,0.0,0.5506521,0.0,0.0,0.2889376,0.0,0.2695083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064815,0.0,0.0,0.0,0.0,0.0,0.2344671,0.0,0.0,0.9888612,0.9925926
